"recipeId","direction"
0,"The day before you plan to make the soup, place the bean mix in a large bowl, add cold water to cover by 2 inches and refrigerate overnight. The next day, drain the beans, rinse under cold running water and drain again. Place the beans in a large pot with 8 cups of cold water. Bring to a boil, lower the heat and simmer for 1 hour. Stir occasionally and skim off any foam that rises to the top. The beans should be very tender and the skin will peel away when you blow on a bean."
0,"Meanwhile, heat the oil in a medium (10-inch) stockpot or Dutch oven over medium heat. Add the pancetta and onion and saute over medium to medium-high heat for 12 to 18 minutes, until browned. Add the garlic and red pepper flakes and saute for one minute. Add the tomatoes, wine, 4 cups of the chicken stock, 1 tablespoon salt and 1 teaspoon black pepper and turn off the heat."
0,"Drain the beans and add two-thirds of them to the soup. Pass the remaining beans through a food mill, discarding the skins. Stir the bean puree and the pasta into the soup, bring to a boil, lower the heat and simmer for 20 to 30 minutes, stirring occasionally, until the pasta is tender. Add up to 2 more cups chicken stock if the soup is too thick. Stir in the Parmesan and the vinegar. Ladle the soup into large shallow bowls and add a swirl of olive oil, a sprinkle of Parmesan and some basil. Serve hot with extra Parmesan on the side."
1,"The day before you plan to make the soup, place the bean mix in a large bowl, add cold water to cover by 2 inches, and refrigerate overnight. The next day, drain the beans, rinse under cold running water, and drain again. Place the beans in a large pot with 8 cups of cold water. Bring to a boil, lower the heat, and simmer for 1 hour. Stir occasionally and skim off any foam that rises to the top. The beans should be very tender and the skin will peel away when you blow on a bean."
1,"Meanwhile, heat the oil in a medium (10-inch) stockpot or Dutch oven over medium heat. Add the pancetta and onion and saute over medium to medium-high heat for 12 to 18 minutes, until browned. Add the garlic and red pepper flakes and saute for one minute. Add the tomatoes, wine, 4 cups of the chicken stock, 1 tablespoon salt, and 1 teaspoon black pepper and turn off the heat."
1,"Drain the beans and add two-thirds of them to the soup. Pass the remaining beans through a food mill, discarding the skins. Stir the bean puree and the pasta into the soup, bring to a boil, lower the heat, and simmer for 20 to 30 minutes, stirring occasionally, until the pasta is tender. Add up to 2 more cups chicken stock if the soup is too thick. Stir in the Parmesan and the vinegar. Ladle the soup into large shallow bowls and add a swirl of olive oil, a sprinkle of Parmesan, and some basil. Serve hot with extra Parmesan on the side."
2,"To prepare the dough by hand, combine the flour and salt in a stainless steel bowl and mix well."
2,"Add the cold butter cubes and, with a pastry blender, blend in the butter until the mixture begins to resemble a mealy mixture where butter forms peas-size nuggets plainly visible in the flour. Add only enough water to pull the dough together. The water should be added to the flour slowly to ensure that only the minimum amount of water is used. Do not over-mix the dough. When the dough has been mixed just sufficiently to combine the ingredients, form it into a ball and wrap in a piece of plastic wrap and refrigerate for several hours."
2,"To prepare the filling, melt the butter in a large saute pan until it begins to brown. Add the sliced apples and cook over medium heat until they begin to soften, about 2 to 3 minutes."
2,"In a bowl, combine the lemon juice, sugars, Southern Comfort, and cinnamon. Add this mixture to the apples and cook 2 to 3 minutes over medium-high heat until the apples are completely caramelized and covered with all the sugar. Remove filling from the heal and allow to cool."
2,"Preheat the oven to 375 degrees."
2,"When ready to use, remove the dough from the refrigerator, lightly flour a pastry board and a rolling pin, and unwrap the dough. Divide the dough into 2 equal pieces and begin to roll out"
2,"into a circle by rolling evenly outward from the center and turning the dough in small 1/8th turns to keep the rolling even. When the dough is rolled out to an even thickness and is about 12 inches in diameter and 1/8-inch thick, it is ready to be transferred to a 10-inch pie tin. Lightly butter the tin, partially roll the dough up on the rolling pin, lift the dough and center it in the pie tin and unroll."
2,"Roll the second half of the pie dough into a round slightly larger than the pie pan. Fill the bottom crust with the cooked apples using a slotted spoon to drain the apples. Reserve juices if desired, for sauce. Brush an egg wash coating over the lip of the dough. This is where it will be sealed to the top crust. Cover the apples with the top half of the pie dough. Trim any excess from the top crust before using both hands to crimp the edges of the two crust together to seal. With a sharp knife, make several crosshatch slits in the top crust. Brush with the egg wash and bake for 35 to 40 minutes. Remove from the oven and cool 20 minutes. Serve with vanilla ice cream."
2,"Reserved juices can be reduced with heavy cream for a sauce for the pie."
3,"Parboil the potatoes approximately 5 to 6 minutes in salted water. Drain and cool to room temperature. Meanwhile, saute the diced onions in the oil plus 1 tablespoon of the butter until richly browned and caramel colored. This step ensures that all of the onion's sweetness is developed. Cool the onions, then mix with the potatoes."
3,"Preheat the oven to 350 degrees. Melt half the remaining butter in a 10-inch nonstick saute pan over medium heat, and add half the diced potato/onion mixture. Take care to pack the mixture tightly in one neat layer to saute and brown. Using the back of a spoon, form the potato and onion mixture into a rounded cake. When the potatoes and onions begin to adhere and brown, flip them over using a large spatula or the back of a plate. Brown the second side, then transfer the hash-browned potatoes to a cookie sheet and reserve while you cook the second half of the potato/onion mixture. Add the second batch to the cookie sheet and bake 10 minutes. Remove from the oven, season with the salt and pepper, and serve."
4,"Coat a large microwave-safe bowl with nonstick spray. Add the marshmallow creme and microwave until warmed through and slightly puffed, 30 to 45 seconds. Add the butter and powdered sugar and whip with a hand mixer until light and fluffy, 1 to 2 minutes. Transfer half of the mixture to another bowl coated with nonstick spray and fold in the candies. Set aside until ready to use."
4,"Add the bourbon, vermouth and grenadine to the remaining marshmallow mixture and whip with a hand mixer until well combined. Set aside until ready to use."
4,"To build the ""1 s'more for the road"": On a cooling rack over a half baking sheet, lay down 32 of the graham cracker halves. Spread 1 1/2 teaspoons of the ""Manhattan"" marshmallow creme on each graham cracker half. Place 4 stackable marshmallows on 16 of the graham cracker halves. Top with the remaining graham cracker halves."
4,"To build the kiddie s'mores: On a cooling rack over a half baking sheet, lay down the remaining 16 graham cracker halves. Spread 1 tablespoon of ""kiddie"" marshmallow creme on each graham cracker half. Place 2 stackable marshmallows on 8 of the graham cracker halves. Top with the remaining graham cracker halves."
4,"In a metal bowl set over a saucepan with about 1 inch of simmering water in it, melt the semisweet chocolate over medium-low heat until completely smooth, stirring constantly, 5 to 7 minutes. Once the chocolate is melted, turn the heat off below the pan. Pour 2 tablespoons of the melted chocolate on top of each s'more, letting the chocolate drip down the sides. Once the s'mores are finished, let the chocolate harden at room temperature for an hour (or if you are in a hurry, then let set up in the refrigerator for 15 minutes)."
4,"Serve with a side of Manhattans for the adults and some chocolate milk for the kids."
5,"In a bowl, combine sausage, shrimp or chicken with Cajun Creole seasoning; toss to coat."
5,"In a skillet, heat oil over medium heat. Add sausage, shrimp or chicken, cooking and stirring until shrimp turn pink or chicken is no longer pink, about 3-5 minutes."
5,"In a saucepan, prepare rice mix according to package directions. In addition, add one-half of the tomatoes into the rice preparation. After 12 minutes of cooking, add remaining tomatoes, Worcestershire sauce, hot pepper sauce and parsley."
5,"Continue to cook on low, covered, until liquid is absorbed and rice is tender. Add sausage, shrimp or chicken to rice; stir until heated through. Serve"
6,"Preheat the oven to 375 degrees F."
6,"In a large saucepan, add the ground beef and brown over medium heat. Season with salt, pepper, and Essence. Add the tomato sauce and simmer for 10 minutes."
6,"In a large bowl fold together the ricotta cheese, eggs, 1/2 cup grated Parmesan, 1/2 cup grated mozzarella, the Essence, salt, parsley, basil, and black pepper."
