"id","name","source"
0,"""16 Bean"" Pasta E Fagioli","https://www.foodnetwork.com/recipes/ina-garten/16-bean-pasta-e-fagioli-3612570"
1,"""16 Bean"" Pasta e Fagioli","https://www.foodnetwork.com/recipes/ina-garten/16-bean-pasta-e-fagioli-1-3753755"
2,"""21"" Apple Pie","https://www.foodnetwork.com/recipes/21-apple-pie-recipe-1925900"
3,"'21' Traditional Hash Brown Potatoes","https://www.foodnetwork.com/recipes/21-traditional-hash-brown-potatoes-1963787"
4,"1 S'more for the Road and Kiddie S'mores","https://www.foodnetwork.com/recipes/jeff-mauro/1-smore-for-the-road-and-kiddie-smores-recipe-2033028"
5,"1-2-3 Jambalaya","https://www.foodnetwork.com/recipes/1-2-3-jambalaya-3362411"
6,"1-2-3 Lasagna","https://www.foodnetwork.com/recipes/1-2-3-lasagna-3644969"
7,"1-Step Chipotle Hummus","https://www.foodnetwork.com/recipes/1-step-chipotle-hummus-3416679"
8,"10 Minute Apple Sauce","https://www.foodnetwork.com/recipes/alton-brown/10-minute-apple-sauce-recipe-1950796"
9,"10 Minute Apple Sauce","https://www.foodnetwork.com/recipes/alton-brown/10-minute-apple-sauce-recipe2-1938289"
10,"10 Minute Fruit Tart","https://www.foodnetwork.com/recipes/rachael-ray/10-minute-fruit-tart-recipe-1941411"
11,"10,000 Island Dressing with Layered Salad","https://www.foodnetwork.com/recipes/guy-fieri/10000-island-dressing-with-layered-salad-recipe-1920098"
12,"10-Minute Arrabbiata Sauce","https://www.foodnetwork.com/recipes/10-minute-arrabbiata-sauce-2103668"
13,"10-Minute Beef-and-Beet Salad with Horseradish Dressing","https://www.foodnetwork.com/recipes/food-network-kitchen/10-minute-beef-and-beet-salad-with-horseradish-dressing-3363096"
14,"10-Minute Chicken, Corn and Kimchi Ramen","https://www.foodnetwork.com/recipes/food-network-kitchen/10-minute-chicken-corn-and-kimchi-ramen-3363134"
15,"10-Minute Green Gazpacho and Smoky Quesadilla","https://www.foodnetwork.com/recipes/food-network-kitchen/10-minute-green-gazpacho-and-smoky-quesadilla-3363248"
16,"10-Minute Ham, White Bean and Kale Salad","https://www.foodnetwork.com/recipes/food-network-kitchen/10-minute-ham-white-bean-and-kale-salad-3362893"
17,"10-Minute Ice Cream Pops","https://www.foodnetwork.com/recipes/food-network-kitchen/10-minute-ice-cream-pops-3666655"
18,"10-Minute White Bean Soup with Toasted Cheese and Tomato","https://www.foodnetwork.com/recipes/food-network-kitchen/10-minute-white-bean-soup-with-toasted-cheese-and-tomato-3362867"
19,"10-Minute White Pizza","https://www.foodnetwork.com/recipes/rachael-ray/10-minute-white-pizza-recipe-1912206"
20,"10-inch French Meat Pie","https://www.foodnetwork.com/recipes/10-inch-french-meat-pie-recipe-1949403"
21,"100-Calorie Ham and Cheese Individual Frittatas","https://www.foodnetwork.com/recipes/100-calorie-ham-and-cheese-individual-frittatas-3416166"
22,"1000 Calorie Beef Wellington","https://www.foodnetwork.com/recipes/1000-calorie-beef-wellington-1939256"
23,"109 Chestnut Chicken Sandwich","https://www.foodnetwork.com/recipes/109-chestnut-chicken-sandwich-5185146"
